date,n1,n2,n3,n4,n5,n6,bonus,classic_result,gold_ball_number,gold_prize_type,gold_result,odd_even,consecutive,repeats,zone
2025-10-25,6,8,19,39,43,49,46,6 - 8 - 19 - 39 - 43 - 49 | Bonus 46,,,,4單 2雙,No,0,"4個區 (1,2,4,5)"
2025-10-22,2,4,7,41,45,46,13,2 - 4 - 7 - 41 - 45 - 46 | Bonus 13,,,,3單 3雙,Yes,1,"2個區 (1,5)"
2025-10-18,9,17,21,39,41,48,28,9 - 17 - 21 - 39 - 41 - 48 | Bonus 28,,,,5單 1雙,No,1,"5個區 (1,2,3,4,5)"
2025-10-15,5,10,17,26,31,32,24,5 - 10 - 17 - 26 - 31 - 32 | Bonus 24,,,,3單 3雙,Yes,1,"4個區 (1,2,3,4)"
2025-10-11,5,23,25,40,41,43,34,5 - 23 - 25 - 40 - 41 - 43 | Bonus 34,,,,5單 1雙,Yes,1,"4個區 (1,3,4,5)"
2025-10-08,17,22,24,40,42,46,29,17 - 22 - 24 - 40 - 42 - 46 | Bonus 29,,,,1單 5雙,No,2,"4個區 (2,3,4,5)"
2025-10-04,24,31,37,41,45,46,16,24 - 31 - 37 - 41 - 45 - 46 | Bonus 16,,,,4單 2雙,Yes,0,"3個區 (3,4,5)"
2025-10-01,26,27,30,38,47,48,43,26 - 27 - 30 - 38 - 47 - 48 | Bonus 43,,,,2單 4雙,Yes,0,"3個區 (3,4,5)"
2025-09-27,1,7,15,19,36,40,47,1 - 7 - 15 - 19 - 36 - 40 | Bonus 47,,,,4單 2雙,No,0,"3個區 (1,2,4)"
2025-09-24,9,10,12,17,46,49,30,9 - 10 - 12 - 17 - 46 - 49 | Bonus 30,,,,3單 3雙,Yes,1,"3個區 (1,2,5)"
2025-09-20,7,9,19,34,39,44,38,7 - 9 - 19 - 34 - 39 - 44 | Bonus 38,,,,4單 2雙,No,0,"4個區 (1,2,4,5)"
2025-09-17,3,12,23,27,33,45,22,3 - 12 - 23 - 27 - 33 - 45 | Bonus 22,,,,5單 1雙,No,3,"5個區 (1,2,3,4,5)"
2025-09-13,13,21,23,33,35,45,1,13 - 21 - 23 - 33 - 35 - 45 | Bonus 1,,,,6單 0雙,No,1,"4個區 (2,3,4,5)"
2025-09-10,11,25,30,35,46,49,37,11 - 25 - 30 - 35 - 46 - 49 | Bonus 37,,,,4單 2雙,No,1,"4個區 (2,3,4,5)"
2025-09-06,12,25,26,38,39,41,16,12 - 25 - 26 - 38 - 39 - 41 | Bonus 16,,,,3單 3雙,Yes,0,"4個區 (2,3,4,5)"
2025-09-03,14,22,24,28,34,35,4,14 - 22 - 24 - 28 - 34 - 35 | Bonus 4,,,,1單 5雙,Yes,0,"3個區 (2,3,4)"
2025-08-30,3,5,6,11,36,38,48,3 - 5 - 6 - 11 - 36 - 38 | Bonus 48,,,,3單 3雙,Yes,1,"3個區 (1,2,4)"
2025-08-27,5,16,17,21,41,47,6,5 - 16 - 17 - 21 - 41 - 47 | Bonus 6,,,,5單 1雙,Yes,1,"4個區 (1,2,3,5)"
2025-08-23,3,10,12,14,36,41,1,3 - 10 - 12 - 14 - 36 - 41 | Bonus 1,,,,2單 4雙,No,1,"4個區 (1,2,4,5)"
2025-08-20,24,29,31,33,36,37,21,24 - 29 - 31 - 33 - 36 - 37 | Bonus 21,,,,4單 2雙,Yes,0,"2個區 (3,4)"
2025-08-16,7,18,23,35,48,49,19,7 - 18 - 23 - 35 - 48 - 49 | Bonus 19,,,,4單 2雙,Yes,1,"5個區 (1,2,3,4,5)"
2025-08-13,4,9,11,12,42,49,41,4 - 9 - 11 - 12 - 42 - 49 | Bonus 41,,,,3單 3雙,Yes,0,"3個區 (1,2,5)"
