date,n1,n2,n3,n4,n5,n6,bonus,classic_result,gold_ball_number,gold_prize_type,gold_result,odd_even,consecutive,repeats,zone
2024-08-10,9,15,17,20,25,49,28,9 - 15 - 17 - 20 - 25 - 49 | Bonus 28,,,,5單 1雙,No,0,"4個區 (1,2,3,5)"
2024-08-07,3,6,16,35,41,42,23,3 - 6 - 16 - 35 - 41 - 42 | Bonus 23,,,,3單 3雙,Yes,2,"4個區 (1,2,4,5)"
2024-08-03,3,11,18,32,39,42,28,3 - 11 - 18 - 32 - 39 - 42 | Bonus 28,,,,3單 3雙,No,2,"4個區 (1,2,4,5)"
2024-07-31,12,18,19,26,40,42,35,12 - 18 - 19 - 26 - 40 - 42 | Bonus 35,,,,1單 5雙,Yes,1,"4個區 (2,3,4,5)"
2024-07-27,5,23,26,33,36,39,8,5 - 23 - 26 - 33 - 36 - 39 | Bonus 8,,,,4單 2雙,No,1,"3個區 (1,3,4)"
2024-07-24,1,6,34,36,40,48,27,1 - 6 - 34 - 36 - 40 - 48 | Bonus 27,,,,1單 5雙,No,0,"3個區 (1,4,5)"
2024-07-20,5,12,15,23,37,42,21,5 - 12 - 15 - 23 - 37 - 42 | Bonus 21,,,,4單 2雙,No,1,"5個區 (1,2,3,4,5)"
2024-07-17,11,13,25,28,34,42,44,11 - 13 - 25 - 28 - 34 - 42 | Bonus 44,,,,3單 3雙,No,0,"4個區 (2,3,4,5)"
2024-07-13,5,18,27,31,32,35,23,5 - 18 - 27 - 31 - 32 - 35 | Bonus 23,,,,4單 2雙,Yes,1,"4個區 (1,2,3,4)"
2024-07-10,7,11,18,37,38,45,31,7 - 11 - 18 - 37 - 38 - 45 | Bonus 31,,,,4單 2雙,Yes,2,"4個區 (1,2,4,5)"
2024-07-06,5,6,8,16,18,38,30,5 - 6 - 8 - 16 - 18 - 38 | Bonus 30,,,,1單 5雙,Yes,0,"3個區 (1,2,4)"
2024-07-03,2,3,7,22,28,31,20,2 - 3 - 7 - 22 - 28 - 31 | Bonus 20,,,,3單 3雙,Yes,1,"3個區 (1,3,4)"
2024-06-29,6,7,30,33,35,39,15,6 - 7 - 30 - 33 - 35 - 39 | Bonus 15,,,,4單 2雙,Yes,1,"3個區 (1,3,4)"
2024-06-26,2,7,10,23,25,29,40,2 - 7 - 10 - 23 - 25 - 29 | Bonus 40,,,,4單 2雙,No,2,"2個區 (1,3)"
2024-06-22,20,23,29,34,37,43,33,20 - 23 - 29 - 34 - 37 - 43 | Bonus 33,,,,4單 2雙,No,0,"4個區 (2,3,4,5)"
2024-06-19,8,12,19,28,42,48,5,8 - 12 - 19 - 28 - 42 - 48 | Bonus 5,,,,1單 5雙,No,0,"4個區 (1,2,3,5)"
2024-06-15,4,11,27,30,33,34,42,4 - 11 - 27 - 30 - 33 - 34 | Bonus 42,,,,3單 3雙,Yes,0,"4個區 (1,2,3,4)"
2024-06-12,7,8,10,17,43,48,26,7 - 8 - 10 - 17 - 43 - 48 | Bonus 26,,,,3單 3雙,Yes,0,"3個區 (1,2,5)"
2024-06-08,3,6,26,28,39,40,29,3 - 6 - 26 - 28 - 39 - 40 | Bonus 29,,,,2單 4雙,Yes,1,"3個區 (1,3,4)"
2024-06-05,4,6,24,27,32,41,34,4 - 6 - 24 - 27 - 32 - 41 | Bonus 34,,,,2單 4雙,No,1,"4個區 (1,3,4,5)"
2024-06-01,17,22,28,35,37,41,18,17 - 22 - 28 - 35 - 37 - 41 | Bonus 18,,,,4單 2雙,No,0,"4個區 (2,3,4,5)"
2024-05-29,4,26,27,32,38,40,10,4 - 26 - 27 - 32 - 38 - 40 | Bonus 10,,,,1單 5雙,Yes,0,"3個區 (1,3,4)"
2024-05-25,14,21,31,37,39,42,19,14 - 21 - 31 - 37 - 39 - 42 | Bonus 19,,,,4單 2雙,No,1,"4個區 (2,3,4,5)"
2024-05-22,3,18,20,25,39,43,4,3 - 18 - 20 - 25 - 39 - 43 | Bonus 4,,,,4單 2雙,No,1,"5個區 (1,2,3,4,5)"
2024-05-18,27,29,32,33,35,39,18,27 - 29 - 32 - 33 - 35 - 39 | Bonus 18,,,,5單 1雙,Yes,0,"2個區 (3,4)"
2024-05-15,13,17,23,24,40,48,29,13 - 17 - 23 - 24 - 40 - 48 | Bonus 29,,,,3單 3雙,Yes,1,"4個區 (2,3,4,5)"
2024-05-11,2,10,17,18,22,28,36,2 - 10 - 17 - 18 - 22 - 28 | Bonus 36,,,,1單 5雙,Yes,0,"3個區 (1,2,3)"
2024-05-08,4,7,11,29,30,31,32,4 - 7 - 11 - 29 - 30 - 31 | Bonus 32,,,,4單 2雙,Yes,0,"4個區 (1,2,3,4)"
2024-05-04,2,16,21,27,38,45,43,2 - 16 - 21 - 27 - 38 - 45 | Bonus 43,,,,3單 3雙,No,0,"5個區 (1,2,3,4,5)"
2024-05-01,3,18,30,34,36,39,21,3 - 18 - 30 - 34 - 36 - 39 | Bonus 21,,,,2單 4雙,No,3,"4個區 (1,2,3,4)"
2024-04-27,3,6,18,26,36,42,17,3 - 6 - 18 - 26 - 36 - 42 | Bonus 17,,,,1單 5雙,No,1,"5個區 (1,2,3,4,5)"
2024-04-24,10,16,18,22,39,46,19,10 - 16 - 18 - 22 - 39 - 46 | Bonus 19,,,,1單 5雙,No,0,"5個區 (1,2,3,4,5)"
2024-04-20,9,14,23,26,30,43,35,9 - 14 - 23 - 26 - 30 - 43 | Bonus 35,,,,3單 3雙,No,1,"4個區 (1,2,3,5)"
2024-04-17,4,7,8,14,41,46,6,4 - 7 - 8 - 14 - 41 - 46 | Bonus 6,,,,2單 4雙,Yes,1,"3個區 (1,2,5)"
2024-04-13,11,17,21,27,41,44,7,11 - 17 - 21 - 27 - 41 - 44 | Bonus 7,,,,5單 1雙,No,2,"3個區 (2,3,5)"
2024-04-10,11,12,17,23,38,46,40,11 - 12 - 17 - 23 - 38 - 46 | Bonus 40,,,,3單 3雙,Yes,0,"4個區 (2,3,4,5)"
2024-04-06,16,18,22,29,36,43,44,16 - 18 - 22 - 29 - 36 - 43 | Bonus 44,,,,2單 4雙,No,1,"4個區 (2,3,4,5)"
2024-04-03,2,10,35,36,38,46,20,2 - 10 - 35 - 36 - 38 - 46 | Bonus 20,,,,1單 5雙,Yes,0,"3個區 (1,4,5)"
2024-03-30,7,12,25,29,39,43,23,7 - 12 - 25 - 29 - 39 - 43 | Bonus 23,,,,5單 1雙,No,1,"5個區 (1,2,3,4,5)"
2024-03-27,14,22,27,39,40,45,6,14 - 22 - 27 - 39 - 40 - 45 | Bonus 6,,,,3單 3雙,Yes,2,"4個區 (2,3,4,5)"
2024-03-23,2,14,26,27,33,49,8,2 - 14 - 26 - 27 - 33 - 49 | Bonus 8,,,,3單 3雙,Yes,1,"5個區 (1,2,3,4,5)"
2024-03-20,8,19,33,44,46,48,21,8 - 19 - 33 - 44 - 46 - 48 | Bonus 21,,,,2單 4雙,No,0,"4個區 (1,2,4,5)"
2024-03-16,12,27,32,38,39,41,42,12 - 27 - 32 - 38 - 39 - 41 | Bonus 42,,,,3單 3雙,Yes,1,"4個區 (2,3,4,5)"
2024-03-13,4,8,15,32,40,44,7,4 - 8 - 15 - 32 - 40 - 44 | Bonus 7,,,,1單 5雙,No,1,"4個區 (1,2,4,5)"
2024-03-09,6,15,19,34,45,47,27,6 - 15 - 19 - 34 - 45 - 47 | Bonus 27,,,,4單 2雙,No,0,"4個區 (1,2,4,5)"
2024-03-06,20,33,39,44,48,49,6,20 - 33 - 39 - 44 - 48 - 49 | Bonus 6,,,,3單 3雙,Yes,0,"3個區 (2,4,5)"
2024-03-02,4,13,26,34,35,42,1,4 - 13 - 26 - 34 - 35 - 42 | Bonus 1,,,,2單 4雙,Yes,2,"5個區 (1,2,3,4,5)"
2024-02-28,7,24,34,42,46,49,1,7 - 24 - 34 - 42 - 46 - 49 | Bonus 1,,,,2單 4雙,No,1,"4個區 (1,3,4,5)"
2024-02-24,2,14,15,28,42,44,25,2 - 14 - 15 - 28 - 42 - 44 | Bonus 25,,,,1單 5雙,Yes,0,"4個區 (1,2,3,5)"
2024-02-21,31,32,45,46,47,49,12,31 - 32 - 45 - 46 - 47 - 49 | Bonus 12,,,,4單 2雙,Yes,1,"2個區 (4,5)"
2024-02-17,3,17,25,29,36,46,2,3 - 17 - 25 - 29 - 36 - 46 | Bonus 2,,,,4單 2雙,No,0,"5個區 (1,2,3,4,5)"
2024-02-14,7,15,37,41,42,47,12,7 - 15 - 37 - 41 - 42 - 47 | Bonus 12,,,,5單 1雙,Yes,1,"4個區 (1,2,4,5)"
2024-02-10,1,5,15,18,22,44,6,1 - 5 - 15 - 18 - 22 - 44 | Bonus 6,,,,3單 3雙,No,0,"4個區 (1,2,3,5)"
2024-02-07,7,19,21,33,36,45,4,7 - 19 - 21 - 33 - 36 - 45 | Bonus 4,,,,5單 1雙,No,0,"5個區 (1,2,3,4,5)"
2024-02-03,5,10,15,27,40,47,7,5 - 10 - 15 - 27 - 40 - 47 | Bonus 7,,,,4單 2雙,No,0,"5個區 (1,2,3,4,5)"
2024-01-31,8,9,28,29,34,43,40,8 - 9 - 28 - 29 - 34 - 43 | Bonus 40,,,,3單 3雙,Yes,1,"4個區 (1,3,4,5)"
2024-01-27,8,11,13,23,24,36,12,8 - 11 - 13 - 23 - 24 - 36 | Bonus 12,,,,3單 3雙,Yes,1,"4個區 (1,2,3,4)"
2024-01-24,1,8,20,30,31,34,41,1 - 8 - 20 - 30 - 31 - 34 | Bonus 41,,,,2單 4雙,Yes,1,"4個區 (1,2,3,4)"
2024-01-20,1,6,12,27,45,49,47,1 - 6 - 12 - 27 - 45 - 49 | Bonus 47,,,,4單 2雙,No,0,"4個區 (1,2,3,5)"
2024-01-17,8,10,11,25,29,37,45,8 - 10 - 11 - 25 - 29 - 37 | Bonus 45,,,,4單 2雙,Yes,0,"4個區 (1,2,3,4)"
2024-01-13,24,28,31,40,42,48,43,24 - 28 - 31 - 40 - 42 - 48 | Bonus 43,,,,1單 5雙,No,1,"3個區 (3,4,5)"
2024-01-10,3,18,25,31,35,39,1,3 - 18 - 25 - 31 - 35 - 39 | Bonus 1,,,,5單 1雙,No,1,"4個區 (1,2,3,4)"
2024-01-06,18,19,33,38,48,49,27,18 - 19 - 33 - 38 - 48 - 49 | Bonus 27,,,,3單 3雙,Yes,0,"3個區 (2,4,5)"
2024-01-03,2,12,23,30,32,35,47,2 - 12 - 23 - 30 - 32 - 35 | Bonus 47,,,,2單 4雙,No,0,"4個區 (1,2,3,4)"
